Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,",Industrial Production % of GDP,"Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,"
2006Q4 [2006Q4],Brazil,..,,..,,..,..,,,..,295291.9251,..,..,..,..,,24158.65996,24553,36225.50698,-0.04086412798424334,0.04086412798424334,36832,..,..,..
2006Q4 [2006Q4],Canada,..,,..,,..,..,,,..,332318.4324,..,..,..,..,,115.0461702,100297,100461.5,-0.3019587360986841,0.3019587360986841,102.0323912,..,..,..
2006Q4 [2006Q4],China,..,,..,,..,..,,,..,742695.5335,..,..,..,..,,210839.2527,210224.2721,263559.2647,-0.07098468971740489,0.07098468971740489,277904,..,..,..
2006Q4 [2006Q4],France,..,,..,,..,..,,,..,607858.8389,..,..,..,..,,117.7241,141146,165496.1676,-0.27206718553155185,0.27206718553155185,169658.7727,..,..,..
2006Q4 [2006Q4],Germany,..,,..,,..,..,,,..,787383.7203,..,..,..,..,,245828.9263,253120.0688,305999.6449,-0.07641854542925329,0.07641854542925329,312133,..,..,..
2006Q4 [2006Q4],India,..,,..,,..,..,,,..,236587.1465,..,..,..,..,,50093.49335,49573.2,1438.900663,0.20565188517965408,-0.20565188517965408,1382.61,..,..,..
2006Q4 [2006Q4],Italy,..,,..,,..,..,,,..,511582.0585,..,..,..,..,,214.6248527,208.5581674,114696,-0.22377910492594025,0.22377910492594025,115212,..,..,..
2006Q4 [2006Q4],Japan,..,,..,,..,..,,,..,1127665.246,..,..,..,..,,146079.0497,149020.8839,166841,-0.018411448232217662,0.018411448232217662,171450,..,..,..
2006Q4 [2006Q4],United Kingdom,..,,..,,..,..,,,..,716794.6968,..,..,..,..,,237.6384747,141943,54750.95947,-0.07605151271161023,0.07605151271161023,55135,..,..,..
2006Q4 [2006Q4],United States,..,,..,,..,..,,,..,3509300,..,..,..,..,,462096.0362,470268,267814,0.05536204832872652,-0.05536204832872652,269548.1,..,..,..
2007 [2007],Brazil,88.39371808,1.0046156083565227,88.00229593,1.0001670026197373,3.647032995,88.29224824,1.0032948266512347,0.9988520695564795,87.98760177,1402981.144,71.77117148,..,493118000000,544438000000,0.3880579595302102,119967.0706,120476,160364.5025,-0.028793994896341952,0.028793994896341952,160521,1.947450509,1.947450509,62.57542218
2007 [2007],Canada,97.62544803,1.0082269240563388,96.24352332,0.9939550950634249,2.130584192,97.18257508,1.009757038474971,0.995463550140493,96.82884448,1475973.49,114.19803,6.033333333,242123000000,240400000000,0.1628755540860019,398.468569,326561,430562,-0.29144394147011404,0.29144394147011404,438.8961869,1.074311992,1.074311992,91.28006366
2007 [2007],China,99.85229759,1.0693250275279695,93.9227069,1.0058246386450915,4.82088392,99.81679974,1.0627547164529176,0.9996444964126336,93.37880908,3542974.349,120.5494698,4.049658645,2063540000000,1967550000000,0.5553384829205265,955301.5907,956062.5362,1217964.306,-0.07413621703869698,0.07413621703869698,1218122,7.60621615,7.60621615,..
2007 [2007],France,96.90042827,1.0003762707205737,96.37642639,0.9949666037467152,1.491841057,96.28102837,0.9990101519264268,0.9936078724206034,96.86398119,2663899.442,140.2431677,7.65,407220000000,415097000000,0.15582307404530024,530.8783,616089,764417.1334,-0.2867549138891258,0.2867549138891258,765665.9751,4.792017772,0.730506897,98.50997892
2007 [2007],Germany,97.43797487,1.0038350010742259,97.09636821,1.000315667648366,2.291883701,96.92727924,0.9982585448547954,0.9947587618617756,97.0657277,3431871.426,122.5455578,8.532418227,1040060000000,1150510000000,0.33524274577529,1055170.948,1056163.658,1321552.575,-0.07761993208191939,0.07761993208191939,1324094,1.428842481,0.730506897,105.3443247
2007 [2007],India,..,,77.96671411,0.9977961235683604,5.99148025,..,,,78.13892264,1129039.985,100.719908,7.2,446422000000,431056000000,0.3817898442277047,228914.9599,229369.9,6196.757268,0.1972633437176275,-0.1972633437176275,6190.17,41.35376792,41.35376792,..
2007 [2007],Italy,96.69225146,1.0137430779321925,95.24293677,0.9985481402557156,1.825730298,95.11866235,0.9986951849216902,0.9837257992627159,95.38141721,2214007.491,170.1721104,6.088832217,570067000000,637771000000,0.288061807646341,856.785354,856.0825819,500095,-0.22549075225599588,0.22549075225599588,500350,1414.504195,0.730506897,108.9876003
2007 [2007],Japan,101.4853978,1.0084165362481379,100.3357438,0.9969929213272155,0.077279753,101.0521042,1.007139633124442,0.9957304833070281,100.6383713,4516767.023,123.1531266,3.838205478,1879600000000,2059050000000,0.4558680997968312,621112.9058,622003.0963,716182,-0.021048040272144904,0.021048040272144904,714126,117.7786143,117.7786143,73.38856182
2007 [2007],United Kingdom,95.32578172,1.0236616545246184,92.64563774,0.9948807668001448,2.326992712,94.74617183,1.0226727792181098,0.9939196943414271,93.12235278,3102749.56,148.0134345,5.333333333,513291000000,524122000000,0.1689217869069652,1045.398217,483385,222557.002,-0.07139203454854409,0.07139203454854409,222741,0.49976992,0.49976992,130.6217406
2007 [2007],United States,95.748518,1.0006374698596288,95.33591125,0.9963254472509132,2.870550296,95.50932242,1.0018189491003582,0.9975018351720075,95.68752009,14452000,125.7729796,4.616666667,3305940000000,3315960000000,0,1955052.764,1956961,1148197,0.05583004179352338,-0.05583004179352338,1148198.6,1,1,107.1765122
2007Q1 [2007Q1],Brazil,..,,..,,..,..,,,..,311551.8974,..,..,..,..,,26783.08236,25160,38942.66221,-0.039029066911405695,0.039029066911405695,33986,..,..,..
2007Q1 [2007Q1],Canada,..,,..,,..,..,,,..,330100.3639,..,..,..,..,,98.58322322,81174,101506.1,-0.3072020750861705,0.3072020750861705,102.8119252,..,..,..
2007Q1 [2007Q1],China,..,,..,,..,..,,,..,807419.2631,..,..,..,..,,224106.6136,205809.6328,289326.4855,-0.08077571948134513,0.08077571948134513,252285,..,..,..
2007Q1 [2007Q1],France,..,,..,,..,..,,,..,625286.8144,..,..,..,..,,130.6499,144176,173998.8724,-0.2780615527081551,0.2780615527081551,175033.7976,..,..,..
2007Q1 [2007Q1],Germany,..,,..,,..,..,,,..,807753.4203,..,..,..,..,,252760.1369,248719.6573,314018.4282,-0.07583786061499889,0.07583786061499889,311873,..,..,..
2007Q1 [2007Q1],India,..,,..,,..,..,,,..,251070.1203,..,..,..,..,,49008.35479,46068.2,1464.448763,0.18936505056910188,-0.18936505056910188,1518.83,..,..,..
2007Q1 [2007Q1],Italy,..,,..,,..,..,,,..,521910.7915,..,..,..,..,,211.6702667,213.4982104,116579,-0.22296402302557103,0.22296402302557103,117356,..,..,..
2007Q1 [2007Q1],Japan,..,,..,,..,..,,,..,1117766.353,..,..,..,..,,148635.795,145096.851,172196,-0.021077933627869715,0.021077933627869715,166737,..,..,..
2007Q1 [2007Q1],United Kingdom,..,,..,,..,..,,,..,742459.1912,..,..,..,..,,249.6405188,113674,54065.86142,-0.0724837425936091,0.0724837425936091,53158,..,..,..
2007Q1 [2007Q1],United States,..,,..,,..,..,,,..,3552200,..,..,..,..,,477148.7973,451989,272655,0.05756821048927425,-0.05756821048927425,268384.2,..,..,..
2007Q2 [2007Q2],Brazil,..,,..,,..,..,,,..,339877.7285,..,..,..,..,,28283.21593,27308,39245.17107,-0.03225264329139471,0.03225264329139471,39193,..,..,..
2007Q2 [2007Q2],Canada,..,,..,,..,..,,,..,358801.5172,..,..,..,..,,97.4697237,75304,108337.3,-0.3016704921455667,0.3016704921455667,112.8418738,..,..,..
2007Q2 [2007Q2],China,..,,..,,..,..,,,..,854400.6104,..,..,..,..,,225461.916,228818.8727,297483.6432,-0.08429503247461631,0.08429503247461631,294903,..,..,..
2007Q2 [2007Q2],France,..,,..,,..,..,,,..,651876.4477,..,..,..,..,,129.3089,152360,183099.1061,-0.28068171176542417,0.28068171176542417,187036.7896,..,..,..
