,Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,",Industrial Production % of GDP,"Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,",GDP to Unemployment Rate Correlaton,Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton
17,1987Q1 [1987Q1],Japan,,,,,,,,,,579842.6767,,,,,,,,,,,,,,,,,
18,1987Q1 [1987Q1],United Kingdom,,,,,,,,,,181757.968,,,,,,,,,,,,,,,,,
19,1987Q1 [1987Q1],United States,,,,,,,,,,1180600,,,,,,,,,,,,,,,,,
20,1987Q2 [1987Q2],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1987Q2 [1987Q2],Canada,,,,,,,,,,106405.184,,,,,,,,,,,,,,,,,
22,1987Q2 [1987Q2],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1987Q2 [1987Q2],France,,,,,,,,,,245966.2709,,,,,,,,,,,,,,,,,
24,1987Q2 [1987Q2],Germany,,,,,,,,,,317778.1159,,,,,,,,,,,,,,,,,
25,1987Q2 [1987Q2],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1987Q2 [1987Q2],Italy,,,,,,,,,,158086.2892,,,,,,,,,,,,,,,,,
27,1987Q2 [1987Q2],Japan,,,,,,,,,,632959.6821,,,,,,,,,,,,,,,,,
28,1987Q2 [1987Q2],United Kingdom,,,,,,,,,,200041.7602,,,,,,,,,,,,,,,,,
29,1987Q2 [1987Q2],United States,,,,,,,,,,1201600,,,,,,,,,,,,,,,,,
30,1987Q3 [1987Q3],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1987Q3 [1987Q3],Canada,,,,,,,,,,109964.2,,,,,,,,,,,,,,,,,
32,1987Q3 [1987Q3],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1987Q3 [1987Q3],France,,,,,,,,,,245925.1686,,,,,,,,,,,,,,,,,
34,1987Q3 [1987Q3],Germany,,,,,,,,,,315525.684,,,,,,,,,,,,,,,,,
35,1987Q3 [1987Q3],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1987Q3 [1987Q3],Italy,,,,,,,,,,158150.8302,,,,,,,,,,,,,,,,,
37,1987Q3 [1987Q3],Japan,,,,,,,,,,628146.8989,,,,,,,,,,,,,,,,,
38,1987Q3 [1987Q3],United Kingdom,,,,,,,,,,205107.2358,,,,,,,,,,,,,,,,,
39,1987Q3 [1987Q3],United States,,,,,,,,,,1221200,,,,,,,,,,,,,,,,,
40,1987Q4 [1987Q4],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1987Q4 [1987Q4],Canada,,,,,,,,,,113587.2957,,,,,,,,,,,,,,,,,
42,1987Q4 [1987Q4],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1987Q4 [1987Q4],France,,,,,,,,,,269308.3561,,,,,,,,,,,,,,,,,
44,1987Q4 [1987Q4],Germany,,,,,,,,,,347379.2924,,,,,,,,,,,,,,,,,
45,1987Q4 [1987Q4],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1987Q4 [1987Q4],Italy,,,,,,,,,,175049.0842,,,,,,,,,,,,,,,,,
47,1987Q4 [1987Q4],Japan,,,,,,,,,,697750.9604,,,,,,,,,,,,,,,,,
48,1987Q4 [1987Q4],United Kingdom,,,,,,,,,,227017.6777,,,,,,,,,,,,,,,,,
49,1987Q4 [1987Q4],United States,,,,,,,,,,1252000,,,,,,,,,,,,,,,,,
50,1988 [1988],Brazil,,,1.18E-5,1.063063063063063,,,,,1.11E-5,,,,,,,,,,,,,,,,,,
51,1988 [1988],Canada,64.06063321,1.03510232319577,61.50861609,0.9938664078234096,4.030164034,,,,61.88821315,509518.3581,,,,,,,,,,,,1.231196476,1.231196476,,,,
52,1988 [1988],China,,,33.82287507,1.0058894113197556,18.87665917,,,,33.62484453,,,,,,,,,,,,,3.731,3.731,,,,
53,1988 [1988],France,,,67.02959539,0.9954853544392532,2.719520313,,,,67.33358265,1098128.007,,,,,,,,,,,,5.956213149,0.842566024,,,,
54,1988 [1988],Germany,,,64.55411722,0.9995825560429418,1.412229911,,,,64.5810762,1377253.731,,,,,,,,,,,,1.75619875,0.842566024,82.66218455,,6.058449255035146,
55,1988 [1988],India,,,20.44996111,0.9976875850776352,9.390280994,,,,20.49735951,,,,,,,,,,,,,13.89426666,13.89426666,,,,
56,1988 [1988],Italy,,,49.89029191,0.9985278395311128,5.155291132,,,,49.96384671,726711.4392,,,,,,,,,,,,1301.491119,0.842566024,,,,
57,1988 [1988],Japan,90.42463914,1.0092455391232489,89.3219122,0.9969378068983744,0.681236231,,,,89.59627329,3073812.637,,,,,,,,,,,,128.1667226,128.1667226,58.22447056,,8.846425256204276,
58,1988 [1988],United Kingdom,,,56.18212527,0.9948313907273046,4.149280966,,,,56.4740174,988781.3139,,,,,,,,,,,,0.562191769,0.562191769,,,,
59,1988 [1988],United States,56.07656401,1.0275015791512134,54.38231075,0.9964574534836412,4.100044008,55.94131431,1.0286674754805265,0.9975881243370068,54.57564752,5236500,,,,,,,,,,,,1,1,,,,
60,1988Q1 [1988Q1],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1988Q1 [1988Q1],Canada,,,,,,,,,,120463.6363,,,,,,,,,,,,,,,,,
62,1988Q1 [1988Q1],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1988Q1 [1988Q1],France,,,,,,,,,,279327.2588,,,,,,,,,,,,,,,,,
64,1988Q1 [1988Q1],Germany,,,,,,,,,,348471.5871,,,,,,,,,,,,,,,,,
65,1988Q1 [1988Q1],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1988Q1 [1988Q1],Italy,,,,,,,,,,184033.5628,,,,,,,,,,,,,,,,,
67,1988Q1 [1988Q1],Japan,,,,,,,,,,756099.2002,,,,,,,,,,,,,,,,,
68,1988Q1 [1988Q1],United Kingdom,,,,,,,,,,239216.4325,,,,,,,,,,,,,,,,,
69,1988Q1 [1988Q1],United States,,,,,,,,,,1268400,,,,,,,,,,,,,,,,,
70,1988Q2 [1988Q2],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1988Q2 [1988Q2],Canada,,,,,,,,,,126228.0395,,,,,,,,,,,,,,,,,
72,1988Q2 [1988Q2],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1988Q2 [1988Q2],France,,,,,,,,,,278641.546,,,,,,,,,,,,,,,,,
74,1988Q2 [1988Q2],Germany,,,,,,,,,,350762.9771,,,,,,,,,,,,,,,,,
75,1988Q2 [1988Q2],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1988Q2 [1988Q2],Italy,,,,,,,,,,184229.0355,,,,,,,,,,,,,,,,,
77,1988Q2 [1988Q2],Japan,,,,,,,,,,771205.2802,,,,,,,,,,,,,,,,,
78,1988Q2 [1988Q2],United Kingdom,,,,,,,,,,250487.6199,,,,,,,,,,,,,,,,,
79,1988Q2 [1988Q2],United States,,,,,,,,,,1297500,,,,,,,,,,,,,,,,,
80,1988Q3 [1988Q3],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1988Q3 [1988Q3],Canada,,,,,,,,,,129403.6138,,,,,,,,,,,,,,,,,
82,1988Q3 [1988Q3],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1988Q3 [1988Q3],France,,,,,,,,,,260740.5365,,,,,,,,,,,,,,,,,
84,1988Q3 [1988Q3],Germany,,,,,,,,,,326937.7538,,,,,,,,,,,,,,,,,
85,1988Q3 [1988Q3],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1988Q3 [1988Q3],Italy,,,,,,,,,,172665.5717,,,,,,,,,,,,,,,,,
87,1988Q3 [1988Q3],Japan,,,,,,,,,,742068.5761,,,,,,,,,,,,,,,,,
88,1988Q3 [1988Q3],United Kingdom,,,,,,,,,,238716.9754,,,,,,,,,,,,,,,,,
89,1988Q3 [1988Q3],United States,,,,,,,,,,1320700,,,,,,,,,,,,,,,,,
90,1988Q4 [1988Q4],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1988Q4 [1988Q4],Canada,,,,,,,,,,133423.0686,,,,,,,,,,,,,,,,,
92,1988Q4 [1988Q4],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1988Q4 [1988Q4],France,,,,,,,,,,279418.6657,,,,,,,,,,,,,,,,,
94,1988Q4 [1988Q4],Germany,,,,,,,,,,351081.4125,,,,,,,,,,,,,,,,,
95,1988Q4 [1988Q4],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1988Q4 [1988Q4],Italy,,,,,,,,,,185783.2692,,,,,,,,,,,,,,,,,
97,1988Q4 [1988Q4],Japan,,,,,,,,,,804439.5804,,,,,,,,,,,,,,,,,
98,1988Q4 [1988Q4],United Kingdom,,,,,,,,,,260360.286,,,,,,,,,,,,,,,,,
99,1988Q4 [1988Q4],United States,,,,,,,,,,1349900,,,,,,,,,,,,,,,,,
100,1989 [1989],Brazil,,,3.32E-5,1.0342679127725856,182.6804195,,,,3.21E-5,,,,,,,,,,,,,,,,,,
101,1989 [1989],Canada,67.61499403,1.0406711584233632,64.5736168,0.9938609263061756,4.983042862,,,,64.97248769,567147.108,,,,,,,,,,,,1.184330917,1.184330917,,,,
102,1989 [1989],China,,,39.97522156,1.0054575230122642,18.18989804,,,,39.75824005,,,,,,,,,,,,,3.770805375,3.770805375,,,,
103,1989 [1989],France,,,69.3663068,0.9954880949494488,3.48608909,,,,69.6806995,1113765.041,,,,,,,,,,,,6.37596489,0.896299092,,,,
104,1989 [1989],Germany,,,66.37001079,0.9998833508281252,2.812978694,,,,66.3777537,1385396.888,,,,,,,,,,,,1.879528589,0.896299092,79.53360703,,2.9264710904742746,
105,1989 [1989],India,,,21.89836656,0.997769271661966,7.082680681,,,,21.94732508,,,,,,,,,,,,,16.19991318,16.19991318,,,,
106,1989 [1989],Italy,,,52.98540805,0.9985190848248464,6.203844507,,,,53.06399132,750622.2632,,,,,,,,,,,,1370.610894,0.896299092,,,,
107,1989 [1989],Japan,92.70728432,1.0117330444759718,91.35077041,0.9969291382014543,2.271400339,,,,91.63216011,3055352.072,,,,,,,,,,,,138.0019941,138.0019941,58.1131693,,2.64813960550631,
108,1989 [1989],United Kingdom,,,59.08970866,0.9948366003544789,5.175281966,,,,59.39639599,1006620.395,,,,,,,,,,,,0.610831275,0.610831275,,,,
109,1989 [1989],United States,58.60209191,1.0243327363828474,56.98781849,0.9961161138070151,4.791094201,58.45302682,1.0257109039935808,0.9974563179377806,57.21001568,5641600,,,,,,,,,,,,1,1,,,,
110,1989Q1 [1989Q1],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1989Q1 [1989Q1],Canada,,,,,,,,,,137589.5813,,,,,,,,,,,,,,,,,
112,1989Q1 [1989Q1],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1989Q1 [1989Q1],France,,,,,,,,,,275532.0647,,,,,,,,,,,,,,,,,
114,1989Q1 [1989Q1],Germany,,,,,,,,,,345050.8439,,,,,,,,,,,,,,,,,
115,1989Q1 [1989Q1],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1989Q1 [1989Q1],Italy,,,,,,,,,,184372.987,,,,,,,,,,,,,,,,,
117,1989Q1 [1989Q1],Japan,,,,,,,,,,803905.3915,,,,,,,,,,,,,,,,,
118,1989Q1 [1989Q1],United Kingdom,,,,,,,,,,259643.8367,,,,,,,,,,,,,,,,,
119,1989Q1 [1989Q1],United States,,,,,,,,,,1377800,,,,,,,,,,,,,,,,,
120,1989Q2 [1989Q2],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1989Q2 [1989Q2],Canada,,,,,,,,,,140291.7964,,,,,,,,,,,,,,,,,
122,1989Q2 [1989Q2],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1989Q2 [1989Q2],France,,,,,,,,,,267858.9035,,,,,,,,,,,,,,,,,
124,1989Q2 [1989Q2],Germany,,,,,,,,,,333389.0901,,,,,,,,,,,,,,,,,
125,1989Q2 [1989Q2],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1989Q2 [1989Q2],Italy,,,,,,,,,,179660.8235,,,,,,,,,,,,,,,,,
127,1989Q2 [1989Q2],Japan,,,,,,,,,,747809.2537,,,,,,,,,,,,,,,,,
128,1989Q2 [1989Q2],United Kingdom,,,,,,,,,,246224.5627,,,,,,,,,,,,,,,,,
129,1989Q2 [1989Q2],United States,,,,,,,,,,1403100,,,,,,,,,,,,,,,,,
130,1989Q3 [1989Q3],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1989Q3 [1989Q3],Canada,,,,,,,,,,143553.1875,,,,,,,,,,,,,,,,,
132,1989Q3 [1989Q3],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1989Q3 [1989Q3],France,,,,,,,,,,274830.8009,,,,,,,,,,,,,,,,,
134,1989Q3 [1989Q3],Germany,,,,,,,,,,340742.9725,,,,,,,,,,,,,,,,,
135,1989Q3 [1989Q3],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1989Q3 [1989Q3],Italy,,,,,,,,,,185219.7605,,,,,,,,,,,,,,,,,
137,1989Q3 [1989Q3],Japan,,,,,,,,,,741174.6899,,,,,,,,,,,,,,,,,
138,1989Q3 [1989Q3],United Kingdom,,,,,,,,,,248479.7534,,,,,,,,,,,,,,,,,
139,1989Q3 [1989Q3],United States,,,,,,,,,,1423900,,,,,,,,,,,,,,,,,
140,1989Q4 [1989Q4],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1989Q4 [1989Q4],Canada,,,,,,,,,,145712.5428,,,,,,,,,,,,,,,,,
142,1989Q4 [1989Q4],China,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1989Q4 [1989Q4],France,,,,,,,,,,295543.2721,,,,,,,,,,,,,,,,,
144,1989Q4 [1989Q4],Germany,,,,,,,,,,366213.9815,,,,,,,,,,,,,,,,,
145,1989Q4 [1989Q4],India,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1989Q4 [1989Q4],Italy,,,,,,,,,,201368.6922,,,,,,,,,,,,,,,,,
147,1989Q4 [1989Q4],Japan,,,,,,,,,,762462.7373,,,,,,,,,,,,,,,,,
148,1989Q4 [1989Q4],United Kingdom,,,,,,,,,,252272.2419,,,,,,,,,,,,,,,,,
149,1989Q4 [1989Q4],United States,,,,,,,,,,1436800,,,,,,,,,,,,,,,,,
150,1990 [1990],Brazil,0.001812806,1.8895993162108071,9.71106E-4,1.0122435790527018,2822.627295,,,,9.5936E-4,,,,,,,,,,,,,2.0E-4,2.0E-4,,,,
151,1990 [1990],Canada,70.63172043,1.0375043311335572,67.65864287,0.9938330057500422,4.777533347,,,,68.07848248,596032.9393,26.54375814,8.15,,,,,,,,,,1.167017217,1.167017217,,0.04355894815059352,,44.91128249968244
152,1990 [1990],China,,,41.1932431,1.0054500472478065,3.046941308,,,,40.96995491,,,,,,,,,,,,,4.794740368,4.794740368,,,,
153,1990 [1990],France,,,71.71840669,0.9954827919611728,3.390839158,,,,72.04384372,1369688.521,38.84822726,7.625,,,,,,,,,,5.44635207,0.77165634,,0.10699086517391516,,92.61061932209823
154,1990 [1990],Germany,,,68.11398777,0.999245733202092,2.627658134,,,,68.16540267,1759653.398,,,,,,,,,,,,1.616348875,0.77165634,99.17555823,,3.9065716488274496,
155,1990 [1990],India,,,23.86069657,0.9976636653425252,8.961079392,,,,23.91657369,,14.74591114,,,,,,,,,,,17.49710507,17.49710507,,,,13.301727913463196
156,1990 [1990],Italy,,,56.40584003,0.9985187424748592,6.455422554,,,,56.48951555,947890.88,,,,,,,,,,,,1198.18166,0.77165634,,,,
157,1990 [1990],Japan,95.09902652,1.0068389035169951,94.16687384,0.996969953049408,3.082736375,,,,94.45307108,3145428.105,173.4465281,2.108116766,,,,,,,,,,144.8215565,144.8215565,60.30577297,0.8886890562808868,2.024801730459169,454.80580228008955
158,1990 [1990],United Kingdom,,,63.24297364,0.9948365174227464,7.028745064,,,,63.57122254,1195634.854,43.48562453,7.091666667,,,,,,,,,,0.562735812,0.562735812,,0.10041878999614418,,50.010902602666135
159,1990 [1990],United States,61.54791006,1.0207257085807524,60.07611148,0.9963170382133244,5.419216029,61.39531862,1.0219589302220264,0.9975207697572306,60.2981874,5963200,25.58378246,5.616666667,,,,,,,,,,1,1,,0.6323615514172376,,38.16146708122056
160,1990Q1 [1990Q1],Brazil,,,,,,,,,,,,,,,,5188.133532,4576,6994.705412,,,6487,,,,,,
161,1990Q1 [1990Q1],Canada,,,,,,,,,,146278.7228,,,,,,30238.8,,31562.7,-0.0090505302114929,0.0090505302114929,,,,,,,
162,1990Q1 [1990Q1],China,,,,,,,,,,,,,,,,13217.52268,9945.078158,13963.34099,,,10780,,,,,,
163,1990Q1 [1990Q1],France,,,,,,,,,,321052.5866,,,,,,53846,,55940.98721,-0.0065253709125544,0.0065253709125544,,,,,,,
164,1990Q1 [1990Q1],Germany,,,,,,,,,,406131.2383,,,,,,87919.36643,88111.70852,104929.8407,-0.0418841809391543,0.0418841809391543,104904,,,,,,
165,1990Q1 [1990Q1],India,,,,,,,,,,,,,,,,5711.299597,5670,4385.815807,,,4833,,,,,,
166,1990Q1 [1990Q1],Italy,,,,,,,,,,222589.2373,,,,,,,,,,,,,,,,,
167,1990Q1 [1990Q1],Japan,,,,,,,,,,737085.4734,,,,,,54947.64866,53642.85236,68203,-0.0179834657151174,0.0179834657151174,65796,,,,,,
168,1990Q1 [1990Q1],United Kingdom,,,,,,,,,,268731.7867,,,,,,85400.45647,,42107,0.1611028490586819,-0.1611028490586819,,,,,,,
169,1990Q1 [1990Q1],United States,,,,,,,,,,1468200,,,,,,124737.4761,119755,96510.2,0.0192257703991281,-0.0192257703991281,97596.5,,,,,,
170,1990Q2 [1990Q2],Brazil,,,,,,,,,,,,,,,,4461.443699,4266,8087.368831,,,8300,,,,,,
171,1990Q2 [1990Q2],Canada,,,,,,,,,,148537.3746,,,,,,30201.3,34344,32501.7,-0.0154870113073885,0.0154870113073885,36952,,,,,,
172,1990Q2 [1990Q2],China,,,,,,,,,,,,,,,,13003.49603,13037.72876,14989.06575,,,14730,,,,,,
173,1990Q2 [1990Q2],France,,,,,,,,,,329578.4266,,,,,,53970,50905.61881,54400.84423,-0.0013072585922709,0.0013072585922709,53075.99058,,,,,,
174,1990Q2 [1990Q2],Germany,,,,,,,,,,417697.9015,,,,,,91574.05268,89670.85668,103525.6586,-0.0286130379805128,0.0286130379805128,100857,,,,,,
175,1990Q2 [1990Q2],India,,,,,,,,,,,,,,,,5415.7456,5326,4536.275738,,,4253,,,,,,
176,1990Q2 [1990Q2],Italy,,,,,,,,,,225646.4871,,,,,,34676.8417,35943.18847,29147.64846,0.0245037860374472,-0.0245037860374472,38794.12301,,,,,,
177,1990Q2 [1990Q2],Japan,,,,,,,,,,725223.6361,,,,,,54873.10313,54015.21668,68143,-0.018297661865188,0.018297661865188,67258,,,,,,
178,1990Q2 [1990Q2],United Kingdom,,,,,,,,,,279367.0923,,,,,,87114.81463,49859,43565,0.1558874177751535,-0.1558874177751535,45773,,,,,,
179,1990Q2 [1990Q2],United States,,,,,,,,,,1490000,,,,,,122038.1066,120936.4,98251.5,0.0159641655033557,-0.0159641655033557,100626,,,,,,
180,1990Q3 [1990Q3],Brazil,,,,,,,,,,,,,,,,5180.710982,5474,8348.362738,,,8736,,,,,,
181,1990Q3 [1990Q3],Canada,,,,,,,,,,151209.2366,,,,,,30057.2,34172,33396.6,-0.0220846297163304,0.0220846297163304,36432,,,,,,
182,1990Q3 [1990Q3],China,,,,,,,,,,,,,,,,13444.46778,13364.74032,15398.13546,,,15750,,,,,,
183,1990Q3 [1990Q3],France,,,,,,,,,,348878.1239,,,,,,58060,43127.65289,56653.13059,0.0040325526698924,-0.0040325526698924,44669.13393,,,,,,
184,1990Q3 [1990Q3],Germany,,,,,,,,,,451001.9869,,,,,,94992.12976,91565.87482,104741.1695,-0.0216164008655723,0.0216164008655723,101146,,,,,,
185,1990Q3 [1990Q3],India,,,,,,,,,,,,,,,,5817.41072,5756,4544.057911,,,4402,,,,,,
186,1990Q3 [1990Q3],Italy,,,,,,,,,,242072.2096,,,,,,29721.04425,26898.60294,26378.82172,0.0138067171589943,-0.0138067171589943,31491.08799,,,,,,
187,1990Q3 [1990Q3],Japan,,,,,,,,,,793852.9704,,,,,,58032.47911,57674.08117,72095,-0.017714263741955,0.017714263741955,73599,,,,,,
188,1990Q3 [1990Q3],United Kingdom,,,,,,,,,,316476.5166,,,,,,101686.8501,49296,47761,0.1703944756449585,-0.1703944756449585,45647,,,,,,
189,1990Q3 [1990Q3],United States,,,,,,,,,,1503800,,,,,,122647.1993,124328.4,97176.5,0.0169375577204415,-0.0169375577204415,93903.4,,,,,,
190,1990Q4 [1990Q4],Brazil,,,,,,,,,,,,,,,,5766.743852,6345,7847.052225,,,7893,,,,,,
191,1990Q4 [1990Q4],Canada,,,,,,,,,,150007.6052,,,,,,30143.9,34946,32603.3,-0.0163951687430844,0.0163951687430844,37658,,,,,,
192,1990Q4 [1990Q4],China,,,,,,,,,,,,,,,,13654.99439,16842.98339,16785.57388,,,20690,,,,,,
193,1990Q4 [1990Q4],France,,,,,,,,,,370179.3837,,,,,,61680,47653.00847,62377.7366,-0.0018848607748654,0.0018848607748654,51216.87649,,,,,,
194,1990Q4 [1990Q4],Germany,,,,,,,,,,484822.2711,,,,,,106483.3321,112286.1186,108334.4101,-0.003818054801402,0.003818054801402,115179,,,,,,
195,1990Q4 [1990Q4],India,,,,,,,,,,,,,,,,6628.716208,6829,4505.849992,,,4483,,,,,,
196,1990Q4 [1990Q4],Italy,,,,,,,,,,257582.946,,,,,,29896.91981,31095.78619,29463.92815,0.0016809795319291,-0.0016809795319291,39464.03208,,,,,,
197,1990Q4 [1990Q4],Japan,,,,,,,,,,889266.0254,,,,,,66953.21342,69992.65342,79202,-0.0137740408720668,0.0137740408720668,80886,,,,,,
198,1990Q4 [1990Q4],United Kingdom,,,,,,,,,,331059.4587,,,,,,108975.8714,51054,50491,0.1766597203706477,-0.1766597203706477,47020,,,,,,
199,1990Q4 [1990Q4],United States,,,,,,,,,,1501200,,,,,,125662.5853,130290.8,101874,0.0158463797628563,-0.0158463797628563,101466.3,,,,,,
200,1991 [1991],Brazil,0.004772967,0.9727957707854754,0.004962841,1.0114946815850097,411.0501859,,,,0.004906443,,,,312844000000,,346316000000,20987.25195,21041,31699.90578,,,31623,3.5E-4,3.5E-4,,,,
201,1991 [1991],Canada,74.7311828,1.0392540241264083,71.46199053,0.9937907905076778,5.621377395,,,,71.90848538,612324.4969,27.01042341,10.31666667,158917000000,0.259530691332039,,,,128548,,,131.2224249,1.146180083,1.146180083,,0.03535142843837705,,38.84055454300085
202,1991 [1991],China,,,42.67053278,1.0057048985781325,3.586242722,,,,42.42848259,,,,,,,63315.7308,63654.66126,71651.92577,,,71970,5.334966938,5.334966938,,,,
203,1991 [1991],France,,,74.02190091,0.995467860156668,3.211859172,,,,74.35890587,1378741.973,35.82092556,7.8,331299000000,0.2402907915243398,337788000000,,224241,269931.3234,,,269407.5559,5.639525198,0.793838484,,0.10528175739098772,,90.15235603165219
204,1991 [1991],Germany,,,70.99065085,1.001008846355796,4.223307378,,,,70.91910437,2008670.892,,4.864885406,813061000000,0.4047756171696443,895844000000,415735.3351,415733.9783,403246.4285,0.0062174976745767,-0.0062174976745767,402876,1.658766224,0.793838484,102.4832646,0.24592399359262498,2.5116566048231084,
