Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton
2790,2018M04 [2018M04],China,115.2407002,123.1617729,1.691217751,115.2138248,122.4580224,106.781784,3146166.587,3.843842178,4.67822E11,4.5356E11,176332.1279,173778.321,209908.9165,198936,6.298253968,6.298253968,,,-1.1368139804379336
2791,2018M04 [2018M04],France,110.0107066,109.1749947,1.60284951,108.9574468,109.9690138,129.5456376,62164.50926,8.833333333,30976445540,31171816267,40.636,55721,60032.59476,60627.87787,5.344634921,0.814691224,109.5788318,-4.3318219702716965,-2.616932788264847
2792,2018M04 [2018M04],Germany,111.5912283,111.3268608,1.474926254,111.2735089,111.7009751,182.01626,64392.23411,3.388180302,92916198982,1.02396E11,110636.4248,110308.0497,135797.6421,135391,1.593698413,0.814691224,104.6469139,-2.601948242723576,-5.445153860166786
2793,2018M04 [2018M04],Italy,113.0482456,110.28807,0.473210463,110.0323625,110.5206074,87.13956741,52754.16005,11.1277674,39068876580,41521203363,62.01311117,65.25380226,47355,44803,1577.60881,0.814691224,79.85529915,0.522220493672757,0.15518577018157123
2794,2018M04 [2018M04],Japan,101.2084592,104.2355372,0.698602794,100.501002,104.4513458,173.7096958,1224771.433,2.459948982,1.41065E11,1.46446E11,60300.20578,57621.04845,64133,63369,107.6224603,107.6224603,84.89034898,0.25558407387754234,-2.6858086347521426
2795,2018M04 [2018M04],United Kingdom,120.3665756,119.327602,2.384609661,119.642453,120.0084256,126.2668908,142196.765,4.2,40831786669,40708910770,56.4528725,,28861.36983,28933.17284,0.710698999,0.710698999,103.7438698,4.618103036981236,-124.80006714473478
2796,2018M04 [2018M04],United States,116.7838936,114.9290995,2.417048407,116.2505156,115.6257644,232.104544,126574.9159,4.0,2.85494E11,2.82682E11,209887.7731,205136.1,140005.9,138234.8,1.0,1.0,135.6159479,12.967610747895025,456.4647876150041
2797,2018M05 [2018M05],Brazil,162.4085578,163.4914936,2.909379086,162.1304264,163.8595233,58.74267967,382549,12.31766205,33983233169,39636472312,13555.739,13261,18316.69432,19325,3.63576087,3.63576087,84.78789278,-0.42829448010926713,-3.7207686272025016
2798,2018M05 [2018M05],Canada,114.3369176,114.7668394,2.309468822,113.3809099,115.8992181,111.0791596,80777.7704,5.9,22392297081,21544734331,54.805,,37649,40.17461101,1.285826087,1.285826087,101.628527,5.216675059327991,-11.587590162540922
2799,2018M05 [2018M05],China,115.2407002,123.3402379,1.534499919,115.3122607,122.213153,106.2322448,3131862.764,3.844683596,4.69791E11,4.57306E11,185404.1978,186119.2469,207464.3598,211592,6.373333333,6.373333333,,,-0.8952201769444627
2800,2018M05 [2018M05],France,110.2248394,109.49394,2.020802377,109.1808511,110.4391495,128.9826606,63344.48176,8.8,30663704026,29776430289,36.0512,54807,55493.30357,54341.88053,5.549413043,0.845940544,111.5083942,-45.92745354095121,-5.418985830730934
2801,2018M05 [2018M05],Germany,112.7363077,111.7583603,1.868239921,112.0042988,112.567714,182.2667764,64267.37984,3.493215804,94326691566,1.0132E11,107707.6573,105257.9884,131225.336,128946,1.654543478,0.845940544,103.0192858,-6.926462033991256,-9.500312946774184
2802,2018M05 [2018M05],Italy,113.1578947,110.5615321,0.988827695,110.1402373,110.845987,83.71520826,53391.06595,10.57256433,39142452619,47741145534,58.3682805,60.89269552,44457,48217,1638.078913,0.845940544,81.22793826,0.6496152936608272,0.34836725212722297
2803,2018M05 [2018M05],Japan,101.2084592,104.338843,0.697906281,100.6012024,104.5548654,175.7830497,1223422.264,2.260827349,1.41471E11,1.44122E11,64689.57498,62924.83491,64030,57680,109.7219565,109.7219565,84.311739,0.2959463960563299,-2.7532156362150606
2804,2018M05 [2018M05],United Kingdom,120.7764117,119.6190946,2.412161363,119.8348043,120.4741085,127.333401,146051.6114,4.0,40672131589,41605403299,54.6999713,,29212.33393,29115.65432,0.742380645,0.742380645,106.0582335,4.894164171870178,159.2348409110426
2805,2018M05 [2018M05],United States,116.9856329,115.2431399,2.752474111,116.5088631,116.1066423,234.6669868,124683.5243,3.8,2.83229E11,2.81239E11,209969.5655,216166.9,142654.3,145513.4,1.0,1.0,136.9536436,6.793315127700551,22.67843857974559
2806,2018M06 [2018M06],Brazil,163.4317326,165.6390092,4.398949743,163.156676,165.9241765,49.78846952,379500,12.28334489,38364050461,42782969521,15101.95662,14325,19498.66168,20114,3.785857143,3.785857143,85.45434783,-0.12706677490477136,-1.2002332553901716
2807,2018M06 [2018M06],Canada,114.516129,114.9395509,2.46343341,113.7377342,116.07298,110.8172396,81764.57004,6.0,22569853590,22057704196,53.252,,38886.5,40.23840848,1.312595238,1.312595238,100.9368887,3.0133903057586138,16.237210944925913
2808,2018M06 [2018M06],China,115.3501094,123.6169693,1.646275436,115.487258,122.0848881,99.09700919,3134423.701,3.836699579,4.69119E11,4.87787E11,174488.6196,172055.3814,209041.5382,215596,6.469428571,6.469428571,,,-0.49554868244563993
2809,2018M06 [2018M06],France,110.1713062,109.5470976,2.029903951,109,110.4498344,124.8396324,70429.67538,8.766666667,31150859077,33267968771,39.658,56837,56962.01117,59434.01004,5.6195,0.856731692,111.711506,-57.18144399033353,-4.922532283748574
2810,2018M06 [2018M06],Germany,112.844334,111.97411,1.964636542,111.7571198,112.6760563,176.6891104,64264.12277,3.546350455,94238535779,1.08949E11,108008.8777,108986.2799,131877.5158,134682,1.675595238,0.856731692,103.0192858,-13.337760844554793,-10.883888115874692
2811,2018M06 [2018M06],Italy,113.377193,110.726421,1.288775744,110.1402373,111.0629067,77.30048981,53953.48624,10.83275216,39252816677,46299437084,59.19705272,60.31923468,46136,49479,1658.750952,0.856731692,79.93604262,1.058319228993686,0.7670795892644151
