Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton
0,1990M01 [1990M01],Canada,69.26523297,66.15411449,5.443176569,,66.63770634,29.54916729,14950.55657,7.9,,,9799.7,,10361.3,,1.170956522,1.170956522,,,-1.16238781851301
1,1990M01 [1990M01],France,,70.80586859,3.568402202,72.14992192,70.96912063,40.08614045,27115.98864,7.751851852,,,18190.0,,19238.15532,,5.759304348,0.812747126,,,-2.520196108237928
2,1990M01 [1990M01],Japan,93.75629406,92.88060983,3.322073281,,92.85714286,220.5665004,81913.34742,2.228274653,,,18279.47236,18274.3785,22627,18616,144.9513043,144.9513043,56.30577285,-2.4674885217019393,7.811685180387294
3,1990M01 [1990M01],United Kingdom,,61.16888278,5.751455789,,61.02837364,43.75144547,35395.88835,6.9,,,28769.06022,,14113,,0.605789687,0.605789687,,,-0.8171828886733506
4,1990M01 [1990M01],United States,59.97655462,58.62392408,5.198019802,59.87318307,58.79448236,25.58663134,78015.76502,5.4,,,42103.49515,40303.8,31613.2,30664.1,1.0,1.0,59.4823384,-0.8908684730657302,-1.3438621494507677
5,1990M02 [1990M02],Canada,69.62365591,66.6040016,5.427620847,,67.07211121,27.8398309,12971.7622,7.7,,,10224.9,10643,10359.9,11694,1.19665,1.19665,,,-1.2001068605570144
6,1990M02 [1990M02],France,,70.80586859,3.506002434,72.25403436,71.11870926,38.41988327,27644.11366,7.696296296,,,17806.0,19365.51531,18530.90452,19755.90641,5.68965,0.803749752,,,-2.7470716367361794
7,1990M02 [1990M02],Germany,,67.42179072,2.6272578,70.87794433,67.6056338,,67373.0115,3.939251752,,,28625.00734,27993.7878,33665.4572,32685,1.67595,0.803749752,91.20479795,0.4576516231007258,
8,1990M02 [1990M02],Japan,93.55488419,93.29809072,3.805178711,,92.96066253,214.169694,79637.44681,2.224679151,,,18328.14888,16951.39418,22958,21895,145.641,145.641,56.91992866,-1.747045673719296,4.8703305666742756
9,1990M02 [1990M02],United Kingdom,,61.49535469,5.898378234,,61.36995036,43.49676491,35388.73622,6.9,,,28537.43944,16644,14337,14916,0.589366122,0.589366122,,,-0.7869585788292681
10,1990M02 [1990M02],United States,60.34004889,58.85382182,5.263157895,60.14512788,59.07137946,24.96531978,76402.11326,5.3,,,41170.93674,37111.9,31709.6,30961.8,1.0,1.0,58.74041921,-0.8949842661548657,-1.3254926259407727
11,1990M03 [1990M03],Canada,69.89247312,66.91050394,5.264881498,,67.33275413,28.18641322,13826.29172,7.3,,,10214.2,11032,10841.5,11909,1.180045455,1.180045455,,,-1.2614725086956338
12,1990M03 [1990M03],France,,70.80586859,3.495163151,72.3581468,71.2896677,38.41984065,28336.02428,7.651851852,,,17850.0,20152.15703,18171.92736,20634.95097,5.755545455,0.814712315,,,-2.7742588691051897
13,1990M03 [1990M03],Germany,,67.42179072,2.459016393,70.98501071,67.6056338,,66934.32276,4.031613912,,,30749.12669,31762.1319,35919.92578,37776,1.705409091,0.814712315,92.4935614,0.9717871205884216,
14,1990M03 [1990M03],Japan,93.95770393,93.35671359,3.557412615,,93.27122153,180.2219769,72677.22672,1.991986071,,,18340.02742,18417.07968,22618,25285,153.3081818,153.3081818,58.11097976,-1.9610632714826877,4.263612501432757
15,1990M03 [1990M03],United Kingdom,,61.73946296,6.043207684,,61.71152708,40.55193482,34807.37028,6.9,,,28093.95681,16504,13657,14782,0.615292467,0.615292467,,,-0.8011282274600885
16,1990M03 [1990M03],United States,60.83985351,59.12969911,5.237315876,60.50772097,59.39442606,25.78619536,78979.35601,5.2,,,41463.04421,42339.3,33187.4,35970.6,1.0,1.0,58.76667216,-0.9014887169992505,-1.3212959959816704
17,1990M04 [1990M04],Canada,69.98207885,66.94610753,5.003562623,,67.33275413,26.85634572,14282.33494,7.6,,,10060.8,11457,10707.5,12361,1.164095238,1.164095238,,,-1.4168048986548756
18,1990M04 [1990M04],France,,71.23112907,3.468811283,72.56637168,71.68500908,41.15636579,31297.53547,7.618518519,,,17692.0,17668.11228,18009.88965,18216.43632,5.663904762,0.803579878,,,-2.698691318631974
19,1990M04 [1990M04],Germany,,67.74541532,2.446982055,71.09207709,67.82231853,,67007.25612,4.095366189,,,29697.43099,30243.41534,33803.82707,32943,1.686428571,0.803579878,94.02332732,1.390754180461002,
20,1990M04 [1990M04],Japan,94.96475327,93.49615079,2.692449897,,94.09937888,157.6460395,72202.36964,2.155125865,,,17994.44126,18223.39413,21519,21737,158.4585714,158.4585714,55.21386241,-5.126489940269113,12.52842044281088
21,1990M04 [1990M04],United Kingdom,,62.20742701,6.556105735,,62.85011614,39.91889391,34707.24046,6.9,,,28445.52733,16348,14029,15152,0.610043182,0.610043182,,,-0.7108310641874226
22,1990M04 [1990M04],United States,60.97616386,59.26763775,4.711616572,60.73434164,59.48672509,25.8637585,78955.14518,5.4,,,40115.34827,39143.9,32044.4,32617.1,1.0,1.0,58.50004068,-1.0904869249005416,-1.6198733030823185
23,1990M05 [1990M05],Canada,70.25089606,67.30015,4.45250757,,67.68027802,26.48966394,13280.40358,7.8,,,10060.6,11420,10994.5,12209,1.175130435,1.175130435,,,-1.8072038529049226
24,1990M05 [1990M05],France,,71.23112907,3.114149355,72.77459656,71.7918581,42.63122759,31240.71189,7.596296296,,,18506.0,17812.86429,18361.63276,17713.50092,5.60173913,0.792247338,,,-3.9225181632187143
25,1990M05 [1990M05],Germany,,67.85329018,2.442996743,71.19914347,68.03900325,,68179.63274,4.10362987,,,30894.40642,30162.29762,35877.61783,35486,1.663565217,0.792247338,93.72164819,1.3282255078352234,
26,1990M05 [1990M05],Japan,95.26686808,93.68316729,2.588353864,,94.51345756,177.3520593,72729.43088,2.100644065,,,19339.16421,18846.99093,23344,21943,153.8465217,153.8465217,55.47825108,-6.10475646834736,25.325181549761805
27,1990M05 [1990M05],United Kingdom,,62.5945849,6.880835883,,63.41941067,41.29122508,34542.74149,6.9,,,28934.36193,16935,14875,15231,0.59572767,0.59572767,,,-0.6420962472870682
28,1990M05 [1990M05],United States,61.06703743,59.35959685,4.365400162,60.91563819,59.62517364,26.68082803,79850.94586,5.4,,,41669.03409,40846.3,32511.2,33538.7,1.0,1.0,58.33103734,-1.2619379166233533,-1.8818244284638386
29,1990M06 [1990M06],Canada,70.43010753,67.54669488,4.414222282,,67.94092094,27.12551862,13908.21505,7.6,,,10079.9,11467,10799.7,12382,1.173142857,1.173142857,,,-1.8238008317401395
30,1990M06 [1990M06],France,,71.4437593,2.998507445,73.08693389,71.7811732,41.32700917,31842.37331,7.585185185,,,17772.0,15424.64224,18029.32182,17146.05335,5.661428571,0.800952841,,,-4.802728061160874
31,1990M06 [1990M06],Germany,,67.85329018,2.442996743,71.19914347,68.03900325,,69070.07291,4.306854474,,,30982.21527,29265.14373,33844.21371,32428,1.68347619,0.800952841,93.92276761,1.37978537562542,
32,1990M06 [1990M06],Japan,95.26686808,93.70438651,2.365242904,,94.20289855,179.9057566,72811.75282,2.101811218,,,17539.49766,16944.83162,23280,23578,153.6957143,153.6957143,55.86126704,-10.575089497224925,-142.12189518680802
33,1990M06 [1990M06],United Kingdom,,62.90893012,6.881921148,,63.64712848,44.81384227,34981.06485,6.9,,,29734.92537,16576,14661,15390,0.584228808,0.584228808,,,-0.5977444506260687
34,1990M06 [1990M06],United States,61.24878457,59.72743324,4.673650282,61.23290714,59.94822024,27.64543077,80177.79205,5.2,,,40253.72429,40946.2,33695.9,34470.2,1.0,1.0,58.58071379,-1.1034097411121269,-1.602857686278875
35,1990M07 [1990M07],Canada,70.69892473,67.6386764,4.169953177,,68.20156386,27.56240162,15306.8278,7.9,,,10041.4,11329,11232.1,12427,1.157272727,1.157272727,,,-2.061600046826248
36,1990M07 [1990M07],France,,71.55007442,2.808960447,73.39927121,71.80254301,41.7097332,31622.87831,7.6,,,18562.0,17017.2209,18873.27824,17323.37095,5.494227273,0.77810555,,,-6.975267332173923
37,1990M07 [1990M07],Germany,,67.85329018,2.442996743,71.09207709,68.03900325,,68030.50034,4.553374184,,,30822.74847,30620.52442,35029.04366,34534,1.638045455,0.77810555,104.1872602,4.011236286103668,
38,1990M07 [1990M07],Japan,95.16616314,93.91605782,2.258015691,,93.99585921,184.3602955,73715.28637,2.108355979,,,18680.77561,18933.98097,23188,24327,149.0740909,149.0740909,60.53579275,-14.197435858729104,-36.439268037456976
39,1990M07 [1990M07],United Kingdom,,63.24017968,6.70613528,,63.53326957,47.06527706,35756.56002,7.0,,,32654.72392,16580,14851,15367,0.552110012,0.552110012,,,-0.5927442200443943
40,1990M07 [1990M07],United States,61.56684205,60.00331053,4.819277108,61.55017608,60.17896782,28.02179515,80915.0118,5.5,,,40871.50186,41495.1,32307.7,30736.2,1.0,1.0,58.80687198,-1.037100734549091,-1.4976331819576956
41,1990M08 [1990M08],Canada,70.96774194,67.85589799,4.135179935,,68.28844483,26.94687597,17765.63072,8.1,,,10329.0,11368,11037.5,11940,1.145,1.145,,,-2.122857404838399
42,1990M08 [1990M08],France,,72.08165001,3.373763811,73.6074961,72.2726787,38.30393908,31912.56714,7.6,,,19599.0,11311.97034,19698.30642,12071.32543,5.268043478,0.746741185,,,-3.1267632335598097
43,1990M08 [1990M08],Germany,,68.06903991,2.435064935,71.30620985,68.25568797,,69301.9357,4.654612138,,,33795.48454,30475.08356,35992.90248,33062,1.570391304,0.746741185,102.9153913,3.7649755997544645,
44,1990M08 [1990M08],Japan,95.06545821,94.17243102,2.807875973,,94.40993789,155.8214077,74431.08572,1.991463555,,,19470.21784,19193.3698,23840,22647,147.4608696,147.4608696,60.99877618,-3.5749847289566494,8.732848371193398
45,1990M08 [1990M08],United Kingdom,,63.90179224,7.845014926,,64.21642301,45.58432192,36485.05548,7.1,,,35189.54494,16631,16127,14992,0.526036925,0.526036925,,,-0.4840636728109201
46,1990M08 [1990M08],United States,61.97577311,60.50908556,5.702811245,61.91276917,60.732762,25.61195273,82127.97433,5.7,,,41863.22851,42231.8,32557.2,31722.9,1.0,1.0,58.630485,-0.7896092653920121,-1.1380489864568806
47,1990M09 [1990M09],Canada,71.14695341,68.16435613,4.236612559,,68.46220678,25.14405275,17593.56164,8.5,,,9686.8,11475,11127,12065,1.15825,1.15825,,,-2.0608208286657543
48,1990M09 [1990M09],France,,72.50691048,3.829367289,73.71160854,72.78555401,35.29606368,35525.8782,7.6,,,19899.0,14798.46165,18081.54593,15274.43755,5.2602,0.749156551,,,-2.2485548331205667
49,1990M09 [1990M09],Germany,,68.60841424,2.746365105,71.73447537,68.58071506,,70153.1878,4.77147398,,,30373.89675,30470.26684,33719.22335,33550,1.571,0.749156551,103.7633039,2.155302913500558,
50,1990M09 [1990M09],Japan,95.66968781,94.56446321,2.827247118,,95.13457557,147.2799183,74433.09358,2.090744046,,,19881.48566,19546.7304,25067,26625,138.6945,138.6945,61.95258271,-3.363036397164916,7.213231013680332
51,1990M09 [1990M09],United Kingdom,,64.45816064,8.151891325,,64.89957644,42.44115351,36498.33801,7.2,,,33842.58121,16085,16783,15288,0.531460644,0.531460644,,,-0.4889672525818837
52,1990M09 [1990M09],United States,62.33926738,60.92290149,6.169871795,62.13938985,61.24040667,24.35902726,83480.14913,5.9,,,39912.46896,40601.5,32311.6,31444.3,1.0,1.0,58.38928606,-0.705325479614898,-1.0157473230893936
53,1990M10 [1990M10],Canada,71.59498208,68.70906761,4.772530856,,69.07037359,23.94292951,17418.98573,8.8,,,10098.7,11363,11209.7,12436,1.15973913,1.15973913,,,-1.6238109168213055
54,1990M10 [1990M10],France,,72.71954072,3.774235669,74.02394586,73.10610108,35.86053505,38203.2715,7.614814815,,,21114.0,17232.80519,21455.55339,19151.46074,5.105,0.727699688,,,-2.315656481244599
55,1990M10 [1990M10],Germany,,69.0399137,3.225806452,71.84154176,68.90574215,,71845.89498,4.841624063,,,34726.95872,38043.16597,36670.27464,41017,1.524347826,0.727699688,107.6716128,1.586264458338752,
56,1990M10 [1990M10],Japan,95.97180262,95.37903807,3.156665785,,96.16977226,157.2323773,75271.37192,2.247841449,,,22754.65291,24245.10884,26659,27571,129.6304348,129.6304348,66.93371862,-1.9054235004131832,4.8130540640768436
57,1990M10 [1990M10],United Kingdom,,64.86328182,8.128208633,,65.35501207,44.00360619,36668.96738,7.3,,,37232.5413,17401,16971,15954,0.513045829,0.513045829,,,-0.47565051811853337
58,1990M10 [1990M10],United States,62.61188808,61.33671743,6.379585327,62.36601052,61.60960279,23.4980499,86870.87574,5.9,,,42471.70071,47394.8,34492.6,35310.3,1.0,1.0,57.96376957,-0.6804823600668187,-0.9743879349517728
59,1990M11 [1990M11],Canada,71.86379928,68.99684924,5.08687574,,69.50477845,23.93289816,17759.91513,9.1,,,10031.0,11749,10776.3,12595,1.163590909,1.163590909,,,-1.4340578033729232
60,1990M11 [1990M11],France,,72.71954072,3.47495184,74.33628319,72.98856715,36.44572008,40398.22147,7.603703704,,,20447.0,15456.26707,21276.07047,16373.12033,5.000181818,0.71059984,,,-2.9296706572344036
61,1990M11 [1990M11],Germany,,69.0399137,3.05958132,71.94860814,68.79739978,,73010.65169,5.052039994,,,37755.36302,39629.89917,37310.42932,39286,1.485318182,0.71059984,108.5651532,1.9389077620326187,
62,1990M11 [1990M11],Japan,96.17321249,95.71267064,3.945958784,,95.96273292,155.1911601,75758.27611,2.071097119,,,22116.66461,23353.46068,26703,25555,129.1127273,129.1127273,67.11384785,-1.0950492161772691,2.28174321361017
63,1990M11 [1990M11],United Kingdom,,65.11329494,7.910489797,,65.46887098,44.23627093,36520.81613,7.5,,,37409.50027,17015,17232,15809,0.508988355,0.508988355,,,-0.49206862756880326
64,1990M11 [1990M11],United States,62.79363522,61.47465607,6.195393169,62.54730707,61.74805134,24.0522221,87137.19486,6.2,,,42766.75093,43795.9,33581.1,33267,1.0,1.0,57.981545,-0.7104425644229423,-1.0134629771099988
65,1990M12 [1990M12],Canada,71.86379928,69.07729467,4.973919923,,69.41789748,24.94899996,17894.18116,9.5,,,10014.2,11834,10617.3,12627,1.160333333,1.160333333,,,-1.4747891545006122
66,1990M12 [1990M12],France,,72.71954072,3.278501599,74.54450807,72.93514264,36.52226915,40977.59913,7.581481481,,,20119.0,14963.93621,19646.11274,15692.29542,5.097,0.719584015,,,-3.5797875405383426
67,1990M12 [1990M12],Germany,,69.0399137,2.564102564,72.26980728,68.79739978,,73915.24312,5.085693602,,,34001.01037,34613.05348,34353.70618,34876,1.500428571,0.719584015,108.118383,3.7918903402562507,
68,1990M12 [1990M12],Japan,96.37462236,95.83870659,3.680089499,,95.85921325,151.6111513,76144.78769,1.98537802,,,22081.8959,22394.0839,25840,27760,133.9847619,133.9847619,68.24449578,-1.2084165145819408,2.598344137888979
69,1990M12 [1990M12],United Kingdom,,65.22433193,7.464585534,,65.35501207,44.67275831,36632.185,7.6,,,34333.82986,16638,16288,15257,0.520740042,0.520740042,,,-0.5305444368063547
70,1990M12 [1990M12],United States,62.839072,61.70455381,6.254948535,62.81925188,61.74805134,24.93417858,87471.3043,6.3,,,40424.13364,39100.1,33800.3,32889,1.0,1.0,57.03069612,-0.7221263052206556,-0.9849415128565461
71,1991M01 [1991M01],Canada,73.38709677,70.6766046,6.836294543,,71.24239791,24.80967188,18187.28017,9.8,13242083776,10569931692,10291.3,11759,10509.2,9.523136369,1.156521739,1.156521739,,,-0.8574543821411414
72,1991M01 [1991M01],France,,73.14480119,3.303303303,75.06507028,73.34116893,34.4513414,39841.12757,7.488888889,27987358377,29087957912,21423.0,21384,27777.35087,26162.4774,5.120826087,0.723173104,,,-3.610416481103087
73,1991M01 [1991M01],Germany,,69.3635383,2.88,71.41327623,69.33911159,,74257.05023,4.434946304,69554915557,74523293995,39707.95536,39319.76982,40061.70324,37797,1.508,0.723173104,111.2750898,2.6886078041469976,
74,1991M01 [1991M01],Japan,96.17321249,96.46600373,3.860217871,,96.48033126,149.2815623,76602.57802,2.037408522,1.48104E11,1.48967E11,21325.74969,21149.37086,26520,22074,133.6891304,133.6891304,66.94383702,-1.1565644030698652,2.188149111269998
75,1991M01 [1991M01],United Kingdom,,65.52198338,7.11652788,,65.35501207,43.75787552,36881.4878,7.8,37558857532,39618045966,35930.15251,17196,7466.263354,7488.296296,0.517058757,0.517058757,,,-0.580602426294851
76,1991M01 [1991M01],United States,63.33887662,61.93445156,5.647058824,63.2271691,62.11724746,24.71151969,89517.11936,6.4,1.65893E11,1.66079E11,43144.42474,40243.7,34290,33165,1.0,1.0,55.97401505,-0.8731337945257648,-1.1731818853856852
77,1991M02 [1991M02],Canada,73.74551971,70.73015005,6.19504586,,71.24239791,26.75977927,16830.28087,10.2,13058474203,15329890570,11.89112127,10640,10378,10.33138237,1.1549,1.1549,,,-0.9734373978979294
78,1991M02 [1991M02],France,,73.14480119,3.303303303,75.16918272,73.53349717,37.93147452,40489.58487,7.488888889,27867073179,28018366899,29.03669438,20122,28398.94315,26438.14625,5.0406,0.709013401,,,-3.3938020140573943
79,1991M02 [1991M02],Germany,,69.47141316,3.04,71.73447537,69.66413868,,72304.17776,4.499884807,68761513478,72469502429,37551.54737,35862.50972,36611.64939,35494,1.48085,0.709013401,111.4939199,2.267299500787328,
80,1991M02 [1991M02],Japan,95.87109768,96.58153307,3.519302839,,96.27329193,164.8308931,77071.41153,2.127870013,1.485E11,1.58163E11,22153.64543,19983.49792,26080,25053,130.529,130.529,66.9383742,-1.4287517497403304,3.6356133817163494
81,1991M02 [1991M02],United Kingdom,,65.81613201,7.026184899,,65.69658879,48.10468562,39965.0773,8.0,37518943762,38710214515,90.84703637,16747,8049.897006,8018.185185,0.509024738,0.509024738,,,-0.5391040263915313
82,1991M02 [1991M02],United States,63.74780768,61.9804311,5.3125,63.54443805,62.20954649,27.34195589,86843.03329,6.6,1.64735E11,1.6545E11,40848.37487,36975.9,33637.2,32774.7,1.0,1.0,56.95275769,-0.9342419473505424,-1.257152702004783
83,1991M03 [1991M03],Canada,74.37275986,71.0497381,6.186224767,,71.50304083,27.18184693,17006.16033,10.5,13068562641,15624259741,13.90955251,11028,10044.3,10.92689915,1.157238095,1.157238095,,,-0.9694367893577559
84,1991M03 [1991M03],France,,73.14480119,3.303303303,75.16918272,73.6724009,37.767287,40232.20749,7.522222222,27521253236,29631974031,31.5767501,19969,23054.37548,24297.50511,5.486428571,0.770614099,,,-3.404021563400482
85,1991M03 [1991M03],Germany,,69.47141316,3.04,71.84154176,69.66413868,,64360.97242,4.549651722,68144422972,76088087570,35151.00659,35369.19457,33334.1506,34852,1.612380952,0.770614099,112.4786552,2.3645705728725233,
86,1991M03 [1991M03],Japan,96.47532729,96.74461551,3.628985844,,96.6873706,164.5433287,69021.93156,2.173199779,1.47012E11,1.73837E11,19572.78546,20535.21691,25473,28834,137.3866667,137.3866667,68.42980784,-1.2366027578954526,3.2980314388357876
87,1991M03 [1991M03],United Kingdom,,65.92506195,6.779454808,,65.9243066,48.47506476,38085.089,8.2,37119806063,41321407372,85.63067264,16606,8394.635397,8417.518519,0.549793113,0.549793113,,,-0.5647193730679234
88,1991M03 [1991M03],United States,64.02042838,61.9804311,4.821150855,63.68041046,62.30184552,27.88698207,81038.48702,6.8,1.63872E11,1.63599E11,37567.73645,38708.3,34411.7,36819.8,1.0,1.0,57.49914712,-1.0819765124839305,-1.499605220876294
89,1991M04 [1991M04],Canada,74.37275986,71.08216956,6.178196447,,71.50304083,27.20639111,15878.18537,10.3,13129093269,15225141988,14.71562259,11456,10673.4,11.30968669,1.153636364,1.153636364,,,-0.9711313716033884
90,1991M04 [1991M04],France,,73.46374654,3.134328358,75.48152004,73.89678384,36.13225212,39193.78445,7.633333333,27515238976,28491691658,23.03721767,18959,22169.83254,22367.90833,5.754045455,0.811519778,,,-4.3123316385755714
91,1991M04 [1991M04],Germany,,69.90291262,3.184713376,72.1627409,69.8808234,,65010.84135,4.539468599,67527332467,77359482350,34186.0101,34700.32495,31979.29047,31731,1.702863636,0.811519778,98.73148036,0.8760996034144294,
92,1991M04 [1991M04],Japan,97.18026183,96.69250535,3.418701765,,97.30848861,164.9711069,67060.25984,2.15953001,1.47799E11,1.60807E11,17231.00387,17866.2189,23920,24184,137.1127273,137.1127273,66.05757934,-1.597823653689997,4.00232951786273
93,1991M04 [1991M04],United Kingdom,,67.49624684,8.501910597,,68.20148472,47.65483895,39380.64615,8.5,36640840823,38189420982,75.80413876,16449,8595.553087,8686.296296,0.570955836,0.570955836,,,-0.41287253142373553
94,1991M04 [1991M04],United States,64.11130195,62.11836975,4.809930178,63.861707,62.39414455,27.93881975,81395.59675,6.7,1.64195E11,1.63594E11,39968.67296,39547.7,35302.6,36137,1.0,1.0,57.56833457,-1.0839840378642123,-1.5053774384235918
95,1991M05 [1991M05],Canada,74.64157706,71.47716678,6.206548993,,71.85056473,27.07659522,17263.06066,10.2,13252172214,15244299172,15.13490042,11419,10616.6,11.479745,1.149913043,1.149913043,,,-0.9658157270765656
96,1991M05 [1991M05],France,,73.57006166,3.28358209,75.68974492,74.13185169,35.79728728,38081.82502,7.7,27548317406,26693672281,28.76691248,17558,20070.19233,19846.51322,5.827391304,0.81958981,,,-3.605339972531685
97,1991M05 [1991M05],Germany,,70.01078749,3.179650238,72.37687366,70.09750813,,65810.93124,4.640758616,66910241961,71491506444,34581.78416,34452.60013,31861.19502,31718,1.719130435,0.81958981,97.27526384,0.7543321262279128,
98,1991M05 [1991M05],Japan,97.78449144,96.88662607,3.419460369,,97.72256729,159.7820186,67294.17463,2.097128645,1.49271E11,1.57012E11,21269.61118,20220.92618,26107,24383,138.2208696,138.2208696,66.9645744,-1.532504230625903,3.7131617610127345
99,1991M05 [1991M05],United Kingdom,,67.75453382,8.243443002,,68.65692034,46.47374676,39338.75511,8.7,37079892293,39384839828,82.00006633,17040,8774.747531,8824.518519,0.579215199,0.579215199,,,-0.44250014180890845
100,1991M05 [1991M05],United States,64.20217551,62.34826749,5.0348567,64.04300354,62.57874261,27.96634971,81355.64888,6.9,1.65839E11,1.64695E11,41353.75173,40181.3,35109.7,36023.6,1.0,1.0,57.73897872,-0.9962629064839237,-1.3762898271666435
101,1991M06 [1991M06],Canada,74.7311828,71.80881812,6.30989162,,72.19808862,27.6429254,16523.54468,10.5,13302614404,15578830853,14.46008109,11466,10579,11.43707407,1.14405,1.14405,,,-0.9321442613391496
102,1991M06 [1991M06],France,,73.88900702,3.422619048,75.89796981,74.31349503,34.17053659,35655.12398,7.766666667,27656574083,29718033079,23.86088074,17501,18866.7315,20093.90363,6.0484,0.85155181,,,-3.204668503117193
103,1991M06 [1991M06],Germany,,70.55016181,3.974562798,72.59100642,70.53087757,,62802.15783,4.752691986,69290448197,77359482350,32742.41926,31892.36367,29589.3918,30058,1.78295,0.85155181,99.50812918,0.5520974696964802,
104,1991M06 [1991M06],Japan,97.78449144,96.91469996,3.426001251,,97.41200828,149.9679313,67039.17739,2.101689112,1.44939E11,1.61492E11,18048.29911,18103.56536,24996,25322,139.7475,139.7475,67.04343844,-1.5195440536616667,3.1516744604125266
105,1991M06 [1991M06],United Kingdom,,68.21121481,8.42850877,,68.99849706,44.25183841,39036.32221,8.8,37199633602,37599467810,77.44704375,16678,8870.263906,8832.185185,0.60590274,0.60590274,,,-0.4496419313880863
106,1991M06 [1991M06],United States,64.29304908,62.53218568,4.695919938,64.26962422,62.76334067,28.34560513,77326.96693,6.9,1.67349E11,1.70909E11,37890.70178,39428.2,34926.2,35479.8,1.0,1.0,57.65912601,-1.127710314864106,-1.5701632973465907
107,1991M07 [1991M07],Canada,74.91039427,71.72939348,6.04789642,,72.28496959,27.40854981,16783.75403,10.5,13349021219,13970290210,14.65698658,11328,11071.3,10.66804512,1.149086957,1.149086957,,,-1.002701707504582
108,1991M07 [1991M07],France,,74.20795237,3.714710253,76.31441957,74.50582327,32.89333943,37145.90727,7.833333333,27193476072,27975337375,31.27784089,18839,19924.82991,20782.7427,6.066913043,0.854025874,,,-2.5473896964368605
109,1991M07 [1991M07],Germany,,71.08953614,4.769475358,73.12633833,71.28927411,,64750.67607,5.089567258,67174709321,73545298011,34607.84076,35021.18719,33572.32552,32909,1.787565217,0.854025874,97.7438117,0.32692183280110376,
110,1991M07 [1991M07],Japan,97.68378651,97.2394578,3.538691945,,97.30848861,143.9002937,66650.65796,2.106931171,1.48546E11,1.6901E11,19589.05428,20148.27298,25708,26793,137.8852174,137.8852174,67.72923233,-1.3582890054940568,2.5402030297471776
111,1991M07 [1991M07],United Kingdom,,68.47347307,8.275266477,,68.77077925,44.60013805,40111.18508,9.0,36880323443,38297728653,83.56920896,16682,8863.923026,8322.679012,0.606267939,0.606267939,,,-0.4580358533341156
112,1991M07 [1991M07],United States,64.520233,62.62414478,4.367816092,64.4962449,62.8556397,28.44160839,77176.85979,6.8,1.67549E11,1.64788E11,40849.62818,41337.8,34870.5,33443.9,1.0,1.0,57.8981372,-1.278676237361021,-1.8292005468871926
113,1991M08 [1991M08],Canada,75.08960573,71.92912738,6.002763957,,72.37185056,27.49538918,18050.2065,10.5,13371215782,15038185691,14.61552827,11365,11046.5,10.58513733,1.145227273,1.145227273,,,-1.0139068042319812
114,1991M08 [1991M08],France,,74.42058261,3.244837758,76.41853201,74.59130249,34.20688383,37363.17389,7.9,27479153417,19990287221,30.56027108,13267,19778.16619,14819.53075,5.9245,0.834371898,,,-3.8764917600800657
115,1991M08 [1991M08],Germany,,71.41316073,4.912836767,73.34047109,71.28927411,,65525.72913,5.153209619,66469463029,66112528531,32872.26662,29746.92707,32266.44222,29634,1.743636364,0.834371898,95.81592587,0.2454108573367127,
116,1991M08 [1991M08],Japan,97.3816717,97.23778362,3.255042441,,97.51552795,141.9299462,66012.16092,2.091504771,1.46357E11,1.49871E11,19100.93529,19127.55851,26454,24835,136.8163636,136.8163636,68.05767732,-1.6565096190844182,3.25316841610878
117,1991M08 [1991M08],United Kingdom,,68.77265029,7.622412264,,69.11235597,46.89791853,40134.68494,9.2,36521099513,35323357634,90.48829968,16735,8953.917357,8359.197531,0.593853018,0.593853018,,,-0.49055184154614895
118,1991M08 [1991M08],United States,64.83829049,62.80806297,3.799392097,64.76818971,63.04023776,28.7080526,75600.73482,6.9,1.67692E11,1.70736E11,40733.37357,41082.4,34856.3,33632.7,1.0,1.0,57.44937591,-1.7235374425124919,-2.561421589051295
119,1991M09 [1991M09],Canada,75.17921147,71.87556742,5.444504279,,72.19808862,27.02044701,18124.40878,10.3,13397445721,15726365277,13.90900357,11482,10852.6,10.67472191,1.137380952,1.137380952,,,-1.2085857771778485
120,1991M09 [1991M09],France,,74.42058261,2.639296188,76.52264446,74.70883641,36.54942343,38385.9983,7.966666667,27572374445,28795971860,30.48218151,18366,19907.76,21509.87615,5.770380952,0.811952606,,,-13.129489483201027
121,1991M09 [1991M09],Germany,,71.5210356,4.245283019,73.34047109,71.28927411,,66649.12065,5.152853684,66204995669,76088087570,32009.8309,32436.62229,30846.09707,31387,1.696,0.811952606,96.20150303,0.3376761205744397,
