,Time,Country,"CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, % y-o-y, not seas. adj.,,","CPI Price, seas. adj.,,,","CPI Price,not seas.adj,,,","Core CPI,not seas.adj,,,","Core CPI,seas.adj,,,","Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, Price, US$, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","GDP,constant 2010 US$,millions,seas. adj.,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Retail Sales Volume,Index,,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,"
0,2016M02 [2016M02],India,..,..,154.2334028,5.187489876,..,153.0984204,..,..,137.2406355,92.38163996,348418,8.5,53453614494,51044894160,..,..,29538.55614,27418.98,..,..,..,..,..,1447.930722,..,1422.46,..,..,68.22107143,68.22107143,..
0,2016M02 [2016M02],Italy,107.4561404,..,107.8443866,-0.291482833,108.3063646,107.8091106,..,..,73.91972608,57.50748863,49017.09706,11.54509808,37045535514,42880528473,0.831303917,0.828545704,57.12517805,60.47983528,72.75297766,68.94632101,..,0.933337188,..,38149,0.932019678,37808,40873.75975,40565.66712,1743.375952,0.900331487,75.02419324
0,2016M02 [2016M02],Japan,100.6042296,..,103.0991736,0.100300903,100.501002,103.1055901,..,..,153.325256,121.9066846,1224898.749,3.244804034,1.34573E+11,1.42669E+11,0.763611421,0.744300041,51381.6446,47769.80298,62557.73765,69033.51039,..,0.795367564,..,49449,0.808424405,49749,62171.25545,61538.22136,114.4404762,114.4404762,76.9729744
0,2016M02 [2016M02],United Kingdom,114.2873406,..,113.3000939,0.317736752,113.8945463,113.6254953,..,..,116.6501891,103.2481119,139052.126,5.1,39275149640,39853167901,0.882460591,0.890726262,66.30009085,55997,63455.52492,74.4337443,..,0.868392774,..,23204.22195,0.899650102,22914.22222,26720.88327,25470.14907,0.699139313,0.699139313,103.94848
0,2016M02 [2016M02],United States,111.6290904,..,109.2078643,0.922912187,111.3360195,109.425577,..,..,155.6635687,155.6635687,118819.5679,4.9,2.69666E+11,2.68992E+11,0.930897538,0.919468335,189606.7722,168042.1,180516.2149,206213.4878,..,0.978668022,..,119502.2,0.97928749,113460.4,122106.9835,115860.1547,1,1,127.0632579
0,2016M03 [2016M03],Brazil,148.9057332,..,151.3690115,9.439726382,148.614217,151.6640243,..,..,71.7053213,34.52171634,357698,10.28586794,36365036745,39307733797,0.915816327,0.901420217,11670.86338,11561,12623.71031,12947.19505,..,0.790059347,..,15358.8524,0.794582393,15992,19440.12492,20126.29545,3.696895652,3.696895652,73.07409532
0,2016M03 [2016M03],Canada,110.3046595,..,110.2763385,1.268834259,109.5450491,111.1207646,..,..,114.8256019,90.6088698,82191.02291,7.1,20346361846,20555435305,0.95009578,0.945077669,48.694,38692,40724.31518,51.52380764,..,0.805223864,..,31383.2,0.806067914,31.78884333,38974.50312,39.43692928,1.322147826,1.322147826,87.7808474
0,2016M03 [2016M03],China,110.5032823,..,119.5118664,2.466619082,110.5326479,119.3446828,..,..,91.61577266,96.10405085,3236636.354,4.041076279,4.07318E+11,4.48967E+11,0.856534576,0.936252093,127159.3016,130704.3409,152596.6897,135817.375,..,1.153159357,..,165390.4305,1.062732258,155098,143423.7423,145942.6858,6.508582609,6.508582609,..
0,2016M03 [2016M03],France,107.751606,..,106.1450138,-0.120048019,106.787234,106.8703921,..,..,122.9048916,95.86105775,61092.95296,9.862962963,30155499066,33824279039,0.742327332,0.735127368,45.419,48981,65983.02111,61.78385134,..,0.873266231,..,46919.72317,0.878062478,50138.09196,53729.00212,57100.82509,5.891417391,0.898019814,96.05418452
0,2016M03 [2016M03],Germany,108.6961219,..,107.98274,0.2002002,108.2858678,108.3423619,..,..,168.1649127,131.1697386,66177.65468,4.441291027,88332098083,1.03765E+11,0.787021233,0.784526322,86499.18206,90206.2502,114617.3018,110256.5709,..,0.824794346,..,111397.1265,0.826617778,118536,135060.4875,143398.803,1.756617391,0.898019814,89.40413414
0,2016M03 [2016M03],India,..,..,154.2968946,4.752126584,..,153.0984204,..,..,143.7506334,98.56238848,360176,8.5,52463960751,55291413369,..,..,26072.97027,27310.28,..,..,..,..,..,1413.267397,..,1535.59,..,..,66.9549087,66.9549087,..
0,2016M03 [2016M03],Italy,110.6359649,..,107.9043499,-0.193731736,108.4142395,108.0260304,..,..,79.5963224,62.08228315,49774.6233,11.43262612,37008747495,44816536964,0.842282067,0.836851307,56.64432491,59.9090345,71.12704502,67.68744269,..,0.933845565,..,37514,0.933474061,41380,40171.52452,44329.03037,1738.986261,0.898019814,74.35166561
0,2016M03 [2016M03],Japan,100.9063444,..,103.2024793,0,100.501002,103.2091097,..,..,158.4875042,127.8491131,1232816.895,3.236349441,1.35114E+11,1.61265E+11,0.763196481,0.745704942,49507.64083,50603.96369,66305.2896,66390.38857,..,0.797682935,..,51049,0.813449456,57175,63996.60536,70287.09601,112.8746957,112.8746957,77.20788683
0,2016M03 [2016M03],United Kingdom,114.9362477,..,113.5740877,0.512902039,114.2905635,114.0433575,..,..,122.1633467,107.7221203,143483.6997,5,39554546030,43724385641,0.891728574,0.893430459,69.62409193,52379,58738.72558,77.92894371,..,0.893543898,..,23531.64117,0.901642958,23230.22222,26335.182,25764.32503,0.702084561,0.702084561,103.8425183
0,2016M03 [2016M03],United States,111.9371518,..,109.426727,0.853476625,111.4810568,109.8967635,..,..,165.2349727,165.2349727,121579.813,5,2.67537E+11,2.66628E+11,0.934868944,0.923377639,177173.2206,178405.4,190834.6632,191875.1475,..,0.973217006,..,117833.4,0.978458989,125527.1,121076.1826,128290.6094,1,1,126.2316897
