,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","GDP,constant 2010 US$,millions,seas. adj.,","Exports Merchandise, Customs, Price, US$, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
0,1987Q4 [1987Q4],China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],France,..,..,..,..,..,..,219894,269308.3561,..,..,..,..,..,..,..,..,..,..,..,..,445590.786,..,335245,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],Germany,..,..,..,..,..,..,283640,347379.2924,..,..,..,..,..,..,..,..,..,..,..,..,603307.908,..,472440,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],Italy,..,..,..,..,..,..,142930,175049.0842,..,..,..,..,..,..,..,..,..,..,..,..,424054.7755,..,327053,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],Japan,..,..,..,..,..,..,94620200,697750.9604,..,..,..,..,..,..,..,..,..,..,..,..,1009287.893,..,89314200,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],United Kingdom,..,..,..,..,..,..,129526,227017.6777,..,..,..,..,..,..,..,..,..,..,..,..,387311.1431,..,275507,..,..,..,..,..,..,..,..
0,1987Q4 [1987Q4],United States,..,..,..,..,..,..,1252000,1252000,..,..,..,..,..,..,..,..,..,..,..,..,2072457.325,..,2170100,..,..,..,..,..,..,..,..
0,1988 [1988],Brazil,..,..,1.18E-05,..,..,1.11E-05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
0,1988 [1988],Canada,64.06063321,..,61.50861609,4.030164034,..,61.88821315,626894,509518.3581,..,..,..,..,..,..,..,..,..,..,..,..,976688.7377,..,1065654.75,..,..,..,..,..,1.231196476,1.231196476,..
0,1988 [1988],China,..,..,33.82287507,18.87665917,..,33.62484453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.731,3.731,..
0,1988 [1988],France,..,..,67.02959539,2.719520313,..,67.33358265,924280,1098128.007,..,..,..,..,..,..,..,..,..,..,..,..,1830341.46,..,1377077,..,..,..,..,..,5.956213149,0.842566024,..
0,1988 [1988],Germany,..,..,64.55411722,1.412229911,..,64.5810762,1159260,1377253.731,..,..,..,..,..,..,..,..,..,..,..,..,2444990.729,..,1914630,..,..,..,..,..,1.75619875,0.842566024,82.66218455
0,1988 [1988],India,..,..,20.44996111,9.390280994,..,20.49735951,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.89426666,13.89426666,..
0,1988 [1988],Italy,..,..,49.89029191,5.155291132,..,49.96384671,611714,726711.4392,..,..,..,..,..,..,..,..,..,..,..,..,1746001.807,..,1346607,..,..,..,..,..,1301.491119,0.842566024,..
