,Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,US Unemployment as leading/trailing
22,22,1990M04 [1990M04],United States,60.97616386,59.26763775,4.711616572,60.73434164,59.48672509,25.8637585,78955.14518,5.4,,,40115.34827,39143.9,32044.4,32617.1,1.0,1.0,58.50004068,-1.0904869249005416,-1.6198733030823185,0.9534843872415516,0.7105263157894738
23,23,1990M05 [1990M05],Canada,70.25089606,67.30015,4.45250757,,67.68027802,26.48966394,13280.40358,7.8,,,10060.6,11420.0,10994.5,12209.0,1.175130435,1.175130435,,,-1.8072038529049224,0.9765588009981429,1.0263157894736843
24,24,1990M05 [1990M05],France,,71.23112907,3.114149355,72.77459656,71.7918581,42.63122759,31240.71189,7.596296296,,,18506.0,17812.86429,18361.63276,17713.50092,5.60173913,0.792247338,,,-3.9225181632187134,1.5716281110499188,0.9995126705263159
25,25,1990M05 [1990M05],Germany,,67.85329018,2.442996743,71.19914347,68.03900325,,68179.63274,4.10362987,,,30894.40642,30162.29762,35877.61783,35486.0,1.663565217,0.792247338,93.72164819,1.3282255078352234,,,0.5399512986842105
26,26,1990M05 [1990M05],Japan,95.26686808,93.68316729,2.588353864,,94.51345756,177.3520593,72729.43088,2.100644065,,,19339.16421,18846.99093,23344.0,21943.0,153.8465217,153.8465217,55.47825108,-6.10475646834736,25.325181549761805,6.538199758851284,0.2764005348684211
27,27,1990M05 [1990M05],United Kingdom,,62.5945849,6.880835883,,63.41941067,41.29122508,34542.74149,6.9,,,28934.36193,16935.0,14875.0,15231.0,0.59572767,0.59572767,,,-0.6420962472870682,1.5222280413674905,0.9078947368421053
28,28,1990M05 [1990M05],United States,61.06703743,59.35959685,4.365400162,60.91563819,59.62517364,26.68082803,79850.94586,5.4,,,41669.03409,40846.3,32511.2,33538.7,1.0,1.0,58.33103734,-1.2619379166233533,-1.8818244284638384,0.9836061903099569,0.7105263157894738
29,29,1990M06 [1990M06],Canada,70.43010753,67.54669488,4.414222282,,67.94092094,27.12551862,13908.21505,7.6,,,10079.9,11467.0,10799.7,12382.0,1.173142857,1.173142857,,,-1.8238008317401395,0.5763382330761531,1.0857142857142856
30,30,1990M06 [1990M06],France,,71.4437593,2.998507445,73.08693389,71.7811732,41.32700917,31842.37331,7.585185185,,,17772.0,15424.64224,18029.32182,17146.05335,5.661428571,0.800952841,,,-4.802728061160874,0.878078527346504,1.0835978835714286
31,31,1990M06 [1990M06],Germany,,67.85329018,2.442996743,71.19914347,68.03900325,,69070.07291,4.306854474,,,30982.21527,29265.14373,33844.21371,32428.0,1.68347619,0.800952841,93.92276761,1.37978537562542,,,0.6152649248571428
32,32,1990M06 [1990M06],Japan,95.26686808,93.70438651,2.365242904,,94.20289855,179.9057566,72811.75282,2.101811218,,,17539.49766,16944.83162,23280.0,23578.0,153.6957143,153.6957143,55.86126704,-10.575089497224925,-142.12189518680802,3.822473123246499,0.3002587454285714
33,33,1990M06 [1990M06],United Kingdom,,62.90893012,6.881921148,,63.64712848,44.81384227,34981.06485,6.9,,,29734.92537,16576.0,14661.0,15390.0,0.584228808,0.584228808,,,-0.5977444506260687,0.9521635708819941,0.9857142857142858
34,34,1990M06 [1990M06],United States,61.24878457,59.72743324,4.673650282,61.23290714,59.94822024,27.64543077,80177.79205,5.2,,,40253.72429,40946.2,33695.9,34470.2,1.0,1.0,58.58071379,-1.1034097411121269,-1.602857686278875,0.5873848513577623,0.7428571428571429
35,35,1990M07 [1990M07],Canada,70.69892473,67.6386764,4.169953177,,68.20156386,27.56240162,15306.8278,7.9,,,10041.4,11329.0,11232.1,12427.0,1.157272727,1.157272727,,,-2.061600046826248,0.5856207238483427,1.1285714285714286
36,36,1990M07 [1990M07],France,,71.55007442,2.808960447,73.39927121,71.80254301,41.7097332,31622.87831,7.6,,,18562.0,17017.2209,18873.27824,17323.37095,5.494227273,0.77810555,,,-6.975267332173923,0.8862102978131284,1.0857142857142856
37,37,1990M07 [1990M07],Germany,,67.85329018,2.442996743,71.09207709,68.03900325,,68030.50034,4.553374184,,,30822.74847,30620.52442,35029.04366,34534.0,1.638045455,0.77810555,104.1872602,4.011236286103668,,,0.6504820262857143
38,38,1990M07 [1990M07],Japan,95.16616314,93.91605782,2.258015691,,93.99585921,184.3602955,73715.28637,2.108355979,,,18680.77561,18933.98097,23188.0,24327.0,149.0740909,149.0740909,60.53579275,-14.197435858729104,-36.439268037456976,3.9171190953571324,0.3011937112857143
39,39,1990M07 [1990M07],United Kingdom,,63.24017968,6.70613528,,63.53326957,47.06527706,35756.56002,7.0,,,32654.72392,16580.0,14851.0,15367.0,0.552110012,0.552110012,,,-0.5927442200443943,,1.4670519066730823
