Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,",Industrial Production % of GDP,"Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,",GDP to Unemployment Rate Correlaton,Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,Import/Export,Retail Sales,Industrial Production GDP,Core CPI,Export/Import,US Unemployment as leading/trailing
1987Q4 [1987Q4],France,,,,,,,,,,269308.3561,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Germany,,,,,,,,,,347379.2924,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Italy,,,,,,,,,,175049.0842,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],Japan,,,,,,,,,,697750.9604,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],United Kingdom,,,,,,,,,,227017.6777,,,,,,,,,,,,,,,,,,,,,,,,
1987Q4 [1987Q4],United States,,,,,,,,,,1252000,,,,,,,,,,,,,,,,,,,,,,,,
1988 [1988],Brazil,,,1.18E-05,1.063063063,,,,,1.11E-05,,,,,,,,,,,,,,,,,,,,,,,,,
1988 [1988],Canada,64.06063321,1.035102323,61.50861609,0.993866408,4.030164034,,,,61.88821315,509518.3581,,,,,,,,,,,,1.231196476,1.231196476,,,,,,,,,1.142378003,,
1988 [1988],China,,,33.82287507,1.005889411,18.87665917,,,,33.62484453,,,,,,,,,,,,,3.731,3.731,,,,,,,,,,,
1988 [1988],France,,,67.02959539,0.995485354,2.719520313,,,,67.33358265,1098128.007,,,,,,,,,,,,5.956213149,0.842566024,,,,,,,,,,,
1988 [1988],Germany,,,64.55411722,0.999582556,1.412229911,,,,64.5810762,1377253.731,,,,,,,,,,,,1.75619875,0.842566024,82.66218455,,0.748181832,,,,,,,,
1988 [1988],India,,,20.44996111,0.997687585,9.390280994,,,,20.49735951,,,,,,,,,,,,,13.89426666,13.89426666,,,,,,,,,,,
1988 [1988],Italy,,,49.89029191,0.99852784,5.155291132,,,,49.96384671,726711.4392,,,,,,,,,,,,1301.491119,0.842566024,,,,,,,,,,,
1988 [1988],Japan,90.42463914,1.009245539,89.3219122,0.996937807,0.681236231,,,,89.59627329,3073812.637,,,,,,,,,,,,128.1667226,128.1667226,58.22447056,,1.981282268,,,,,,1.612521037,,
1988 [1988],United Kingdom,,,56.18212527,0.994831391,4.149280966,,,,56.4740174,988781.3139,,,,,,,,,,,,0.562191769,0.562191769,,,,,,,,,,,
1988 [1988],United States,56.07656401,1.027501579,54.38231075,0.996457453,4.100044008,55.94131431,1.028667475,0.997588124,54.57564752,5236500,,,,,,,,,,,,1,1,,,,,,,,,,,
1988Q1 [1988Q1],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],Canada,,,,,,,,,,120463.6363,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],France,,,,,,,,,,279327.2588,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],Germany,,,,,,,,,,348471.5871,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],Italy,,,,,,,,,,184033.5628,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],Japan,,,,,,,,,,756099.2002,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],United Kingdom,,,,,,,,,,239216.4325,,,,,,,,,,,,,,,,,,,,,,,,
1988Q1 [1988Q1],United States,,,,,,,,,,1268400,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],Canada,,,,,,,,,,126228.0395,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],France,,,,,,,,,,278641.546,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],Germany,,,,,,,,,,350762.9771,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],Italy,,,,,,,,,,184229.0355,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],Japan,,,,,,,,,,771205.2802,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],United Kingdom,,,,,,,,,,250487.6199,,,,,,,,,,,,,,,,,,,,,,,,
1988Q2 [1988Q2],United States,,,,,,,,,,1297500,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],Canada,,,,,,,,,,129403.6138,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],France,,,,,,,,,,260740.5365,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],Germany,,,,,,,,,,326937.7538,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],Italy,,,,,,,,,,172665.5717,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],Japan,,,,,,,,,,742068.5761,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],United Kingdom,,,,,,,,,,238716.9754,,,,,,,,,,,,,,,,,,,,,,,,
1988Q3 [1988Q3],United States,,,,,,,,,,1320700,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],Canada,,,,,,,,,,133423.0686,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],France,,,,,,,,,,279418.6657,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],Germany,,,,,,,,,,351081.4125,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],Italy,,,,,,,,,,185783.2692,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],Japan,,,,,,,,,,804439.5804,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],United Kingdom,,,,,,,,,,260360.286,,,,,,,,,,,,,,,,,,,,,,,,
1988Q4 [1988Q4],United States,,,,,,,,,,1349900,,,,,,,,,,,,,,,,,,,,,,,,
1989 [1989],Brazil,,,3.32E-05,1.034267913,182.6804195,,,,3.21E-05,,,,,,,,,,,,,,,,,,,,,,,,,
1989 [1989],Canada,67.61499403,1.040671158,64.5736168,0.993860926,4.983042862,,,,64.97248769,567147.108,,,,,,,,,,,,1.184330917,1.184330917,,,,,,,,,1.1537983,,
1989 [1989],China,,,39.97522156,1.005457523,18.18989804,,,,39.75824005,,,,,,,,,,,,,3.770805375,3.770805375,,,,,,,,,,,
1989 [1989],France,,,69.3663068,0.995488095,3.48608909,,,,69.6806995,1113765.041,,,,,,,,,,,,6.37596489,0.896299092,,,,,,,,,,,
1989 [1989],Germany,,,66.37001079,0.999883351,2.812978694,,,,66.3777537,1385396.888,,,,,,,,,,,,1.879528589,0.896299092,79.53360703,,-1.094093161,,,,,,,,
1989 [1989],India,,,21.89836656,0.997769272,7.082680681,,,,21.94732508,,,,,,,,,,,,,16.19991318,16.19991318,,,,,,,,,,,
